name,latitude,longitude,2013,2014,2015,2016,2017,2018,2019
1025 Traveller Solar  LLC,35.4273,-79.1263,,,,,,,1.332
1047 Little Mountain Solar  LLC,36.1971,-80.8067,,,,,,,1.417
145 Talmadge Solar,40.5358,-74.3913,5.0360000000000000,4.524,4.8020000000000000,5.051,4.819,4.626,5.01
205 Sturbridge A,42.1093,-72.1705,,2.969,5.3260000000000000,5.319,5.041,4.921,5.074
24 Applegate Solar LLC,40.2058,-74.5797,,5.734,1.742,1.667,5.259,0.709,0.866
25 Ashdown Road Solar  LLC,42.8826,-73.879,,,,,,,0
301 Chestnut Solar NG,42.0552,-72.5218,,,,,1.847,2.2560000000000000,2.359
4Oaks,35.4325,-78.4117,,,3.8360000000000000,9.354000000000000,2.747,7.837,6.365
ABD Farms,35.7287,-79.7483,,,,,0,8.65,9.631
ACE-Stanton A PV,28.4845,-81.1741,,,,,2.308,8.126,7.965
ACE-Stanton PV,28.4774,-81.1804,,,,,2.755,9.918000000000000,9.642
AEP Jacksonville Solar Project,30.5236,-81.6864,,,,,8.259,10.066,14.562000000000000
AES Ilumina,17.9468,-66.1591,,,,,,,
AES Kekaha Solar  LLC Hybrid,22.0006,-159.7621,,,,,,,0.498
AFA Solar Farm,38.9579,-104.8066,11.27,11.294,11.205,11.563,11.203,11.799,11.093
AGA TAG Solar IV LLC,34.2736,-78.0644,,,,,,,0.252
AM Best Farm,35.4189,-77.9856,4.618,9.102,8.691,9.131,8.689,8.253,8.556000000000000
AMP Napoleon Solar Facility,41.4067,-84.1108,5.2620000000000000,5.147,5.111,4.888,4.905,3.736,4.409
ANAD Solar Array,33.6267,-85.9695,,,,,7.668,17.168,8.870000000000000
AP North Lake I  LP,33.74,-117.0106,,,15.048,,41.996,46.045,42.588
ATOOD Solar IV  LLC,34.2753,-78.061,,,,,,,0.18315
AV Solar Ranch One,34.7803,-118.4244,,243.697,619.408,614.294,607.9490000000000,606.235,575.634
AVS Lancaster 1,34.7489,-117.9736,,,,0,8.472,8.752,8.117
Achilles Solar,35.3597,-79.9114,,,,,,,9.367
Actus Lend Lease DMAFB,32.1825,-110.8633,4.9331700000000000,4.56687,4.396590000000000,4.481,4.402,4.023,3.7920000000000000
Acushnet AD Makepeace,41.7989,-70.7436,5.867,5.835,5.6240000000000000,6.089,5.819,5.436,5.398
Acushnet- High Hill,41.7144,-70.9972,3.56,4.38471,4.3,4.526,4.19,3.919,4.205
Adams Ave MS and HS,39.4114,-74.5309,,,,4.839,5.085,4.789,4.673
Adams Farm Solar,42.6,-72.2,,3.669,3.911,4.195,3.8160000000000000,3.795,4
Adams Nielson Solar,46.9553,-118.6212,,,,,,1.207,43.339
Adams Solar Center,44.675,-121.122,,,,,,12.026,20.784
